"Dimension","N","Threads","Method","Iterations","Time_ms","Error","Speedup"
"3D","64","1","Original","100","26.70","7.92e-01","1.00"
"3D","64","1","Tiled","100","27.33","7.92e-01","0.98"
"3D","64","1","Tiled+Aligned","100","30.92","7.92e-01","0.86"
"3D","64","2","Original","100","19.80","7.92e-01","1.00"
"3D","64","2","Tiled","100","22.86","7.92e-01","0.87"
"3D","64","2","Tiled+Aligned","100","22.72","7.92e-01","0.87"
"3D","64","4","Original","100","18.08","7.92e-01","1.00"
"3D","64","4","Tiled","100","15.88","7.92e-01","1.14"
"3D","64","4","Tiled+Aligned","100","18.57","7.92e-01","0.97"
"3D","64","8","Original","100","18.95","7.92e-01","1.00"
"3D","64","8","Tiled","100","20.24","7.92e-01","0.94"
"3D","64","8","Tiled+Aligned","100","21.66","7.92e-01","0.88"
"3D","64","10","Original","100","19.49","7.92e-01","1.00"
"3D","64","10","Tiled","100","28.29","7.92e-01","0.69"
"3D","64","10","Tiled+Aligned","100","31.13","7.92e-01","0.63"
"3D","64","16","Original","100","29.68","7.92e-01","1.00"
"3D","64","16","Tiled","100","25.91","7.92e-01","1.15"
"3D","64","16","Tiled+Aligned","100","28.86","7.92e-01","1.03"
"3D","64","20","Original","100","37.57","7.92e-01","1.00"
"3D","64","20","Tiled","100","33.94","7.92e-01","1.11"
"3D","64","20","Tiled+Aligned","100","36.05","7.92e-01","1.04"
"3D","128","1","Original","100","697.82","9.43e-01","1.00"
"3D","128","1","Tiled","100","687.13","9.43e-01","1.02"
"3D","128","1","Tiled+Aligned","100","687.31","9.43e-01","1.02"
"3D","128","2","Original","100","396.82","9.43e-01","1.00"
"3D","128","2","Tiled","100","388.70","9.43e-01","1.02"
"3D","128","2","Tiled+Aligned","100","706.46","9.43e-01","0.56"
"3D","128","4","Original","100","289.87","9.43e-01","1.00"
"3D","128","4","Tiled","100","380.21","9.43e-01","0.76"
"3D","128","4","Tiled+Aligned","100","738.86","9.43e-01","0.39"
"3D","128","8","Original","100","288.53","9.43e-01","1.00"
"3D","128","8","Tiled","100","228.51","9.43e-01","1.26"
"3D","128","8","Tiled+Aligned","100","728.29","9.43e-01","0.40"
"3D","128","10","Original","100","296.93","9.43e-01","1.00"
"3D","128","10","Tiled","100","232.27","9.43e-01","1.28"
"3D","128","10","Tiled+Aligned","100","744.57","9.43e-01","0.40"
"3D","128","16","Original","100","283.90","9.43e-01","1.00"
"3D","128","16","Tiled","100","267.28","9.43e-01","1.06"
"3D","128","16","Tiled+Aligned","100","744.63","9.43e-01","0.38"
"3D","128","20","Original","100","284.61","9.43e-01","1.00"
"3D","128","20","Tiled","100","260.76","9.43e-01","1.09"
"3D","128","20","Tiled+Aligned","100","751.00","9.43e-01","0.38"
"3D","256","1","Original","100","8022.67","9.85e-01","1.00"
"3D","256","1","Tiled","100","7788.67","9.85e-01","1.03"
"3D","256","1","Tiled+Aligned","100","5491.17","9.85e-01","1.46"
"3D","256","2","Original","100","4853.07","9.85e-01","1.00"
"3D","256","2","Tiled","100","4888.85","9.85e-01","0.99"
"3D","256","2","Tiled+Aligned","100","3234.64","9.85e-01","1.50"
"3D","256","4","Original","100","3037.01","9.85e-01","1.00"
"3D","256","4","Tiled","100","3382.91","9.85e-01","0.90"
"3D","256","4","Tiled+Aligned","100","2487.70","9.85e-01","1.22"
"3D","256","8","Original","100","2374.13","9.85e-01","1.00"
"3D","256","8","Tiled","100","2533.01","9.85e-01","0.94"
"3D","256","8","Tiled+Aligned","100","2585.01","9.85e-01","0.92"
"3D","256","10","Original","100","2380.86","9.85e-01","1.00"
"3D","256","10","Tiled","100","2558.86","9.85e-01","0.93"
"3D","256","10","Tiled+Aligned","100","2628.93","9.85e-01","0.91"
"3D","256","16","Original","100","2338.09","9.85e-01","1.00"
"3D","256","16","Tiled","100","2346.54","9.85e-01","1.00"
"3D","256","16","Tiled+Aligned","100","2675.82","9.85e-01","0.87"
"3D","256","20","Original","100","2338.64","9.85e-01","1.00"
"3D","256","20","Tiled","100","2388.88","9.85e-01","0.98"
"3D","256","20","Tiled+Aligned","100","2665.47","9.85e-01","0.88"
"3D","512","1","Original","100","59481.10","9.96e-01","1.00"
"3D","512","1","Tiled","100","62053.14","9.96e-01","0.96"
"3D","512","1","Tiled+Aligned","100","45991.04","9.96e-01","1.29"
"3D","512","2","Original","100","31525.49","9.96e-01","1.00"
"3D","512","2","Tiled","100","34162.32","9.96e-01","0.92"
"3D","512","2","Tiled+Aligned","100","29835.08","9.96e-01","1.06"
"3D","512","4","Original","100","20381.62","9.96e-01","1.00"
"3D","512","4","Tiled","100","23006.70","9.96e-01","0.89"
"3D","512","4","Tiled+Aligned","100","21970.44","9.96e-01","0.93"
"3D","512","8","Original","100","19283.60","9.96e-01","1.00"
"3D","512","8","Tiled","100","19715.86","9.96e-01","0.98"
"3D","512","8","Tiled+Aligned","100","19420.52","9.96e-01","0.99"
"3D","512","10","Original","100","18224.77","9.96e-01","1.00"
"3D","512","10","Tiled","100","19492.76","9.96e-01","0.93"
"3D","512","10","Tiled+Aligned","100","19843.28","9.96e-01","0.92"
"3D","512","16","Original","100","17482.24","9.96e-01","1.00"
"3D","512","16","Tiled","100","16941.90","9.96e-01","1.03"
"3D","512","16","Tiled+Aligned","100","20569.68","9.96e-01","0.85"
"3D","512","20","Original","100","17714.33","9.96e-01","1.00"
"3D","512","20","Tiled","100","18065.43","9.96e-01","0.98"
"3D","512","20","Tiled+Aligned","100","21441.33","9.96e-01","0.83"
