"Dim","Size","Threads","Time_Orig","Time_Tiled","Speedup","Efficiency","Iter_Orig","Iter_Tiled"
"2D","64","1","18.85","18.88","1","100","9000","9000"
"2D","64","2","271.49","261.75","1.04","52","9000","9000"
"2D","64","4","546.04","539.38","1.01","25.2","9000","9000"
"2D","64","8","1203.89","1174.43","1.03","12.9","9000","9000"
"2D","64","10","1410.62","1386.2","1.02","10.2","9000","9000"
"2D","64","16","2237.1","2144.62","1.04","6.5","9000","9000"
"2D","64","20","2850.89","2784.86","1.02","5.1","9000","9000"
"2D","128","1","84.47","82.29","1.03","103","10000","10000"
"2D","128","2","316.86","310.29","1.02","51","10000","10000"
"2D","128","4","623.02","625.77","1","25","10000","10000"
"2D","128","8","1326.67","1290.49","1.03","12.9","10000","10000"
"2D","128","10","1614.22","1608.81","1","10","10000","10000"
"2D","128","16","2509.12","2477.16","1.01","6.3","10000","10000"
"2D","128","20","3185.78","3159.85","1.01","5.1","10000","10000"
"2D","256","1","340.39","336.8","1.01","101","10000","10000"
"2D","256","2","409.12","407.43","1","50","10000","10000"
"2D","256","4","535.73","585.34","0.92","23","10000","10000"
"2D","256","8","1339.49","1287.57","1.04","13","10000","10000"
"2D","256","10","1629.8","1703.16","0.96","9.6","10000","10000"
"2D","256","16","2662.41","2625.68","1.01","6.3","10000","10000"
"2D","256","20","3208.72","3059.95","1.05","5.3","10000","10000"
"2D","512","1","1411","1378.32","1.02","102","10000","10000"
"2D","512","2","1145.63","1098.67","1.04","52","10000","10000"
"2D","512","4","796.17","689.26","1.16","29","10000","10000"
"2D","512","8","1203.71","1209.1","1","12.5","10000","10000"
"2D","512","10","1538.27","1509.47","1.02","10.2","10000","10000"
"2D","512","16","2637.3","2526.42","1.04","6.5","10000","10000"
"2D","512","20","3233.74","3121.05","1.04","5.2","10000","10000"
"2D","1024","1","8515.99","8295.02","1.03","103","10000","10000"
"2D","1024","2","4768.16","4665.13","1.02","51","10000","10000"
"2D","1024","4","2790.21","2683.16","1.04","26","10000","10000"
"2D","1024","8","2308.12","2214.49","1.04","13","10000","10000"
"2D","1024","10","2687.37","2593.45","1.04","10.4","10000","10000"
"2D","1024","16","3081.41","3026.74","1.02","6.4","10000","10000"
"2D","1024","20","3465.99","3411.79","1.02","5.1","10000","10000"
